`,file_name,impd_code,site_name,site_code,Contributor,Longitude,Latitude,Reference
402,MST.fhx,MST,Middle Stein (STN),MST,Heyerdahl_EK,-121.97,50.3,?
33,BAC.fhx,BAC,Sierra Bacadehuachi (BAC),BAC,Kaib_M,-109.0229379,29.86194843,Alex is working on this
11,AM1.FHX,AM1,Apache Mesa East,AM1,Allen_CD,-106.3695826,35.82064469,Allen 1989
12,AM2.FHX,AM2,Apache Mesa Central,AM2,Allen_CD,-106.3847017,35.82331129,Allen 1989
13,AM3.FHX,AM3,Apache Mesa West,AM3,Allen_CD,-106.3972896,35.82256454,Allen 1989
37,BAN5.FHX,BAN,Bandelier group 5,BAN,Allen_CD,-106.3356599,35.81829784,Allen 1989
79,BJC.FHX,BJC,Bandelier Juniper Campground,BJC,Allen_CD,-106.2788807,35.7946388,Allen 1989
200,CSE.FHX,CSE,Cerro Grande Southeast,CSE,Allen_CD,-106.405343,35.85082397,Allen 1989
202,CSW.FHX,CSW,Cerro Grande Southwest,CSW,Allen_CD,-106.4176044,35.85628443,Allen 1989
223,ESC.FHX,ESC,Frijoles Escarpment,ESC,Allen_CD,-106.3649913,35.83013746,Allen 1989
235,FR1.FHX,FR1,Frijoles Riparian 1,FR1,Allen_CD,-106.3717688,35.81689337,Allen 1989
236,FR2.FHX,FR2,Frijoles Riparian 2,FR2,Allen_CD,-106.3969512,35.81377845,Allen 1989
237,FR3.FHX,FR3,Frijoles Riparian 3,FR3,Allen_CD,-106.407784,35.81882688,Allen 1989
611,SAW.FHX,SAW,Sawyer Mesa,SAW,Allen_CD,-106.4339204,35.82818833,Allen 1989
700,UEF.fhx,UEF,Upper East Fork of Frijoles,UEF,Allen_CD,-106.4081436,35.84419644,Allen 1989
1152,UWF.FHX,UWF,Upper West Fork of Frijoles,UWF,Allen_CD,-106.4248059,35.83851415,Allen 1989
980,usmc-001.fhx,USMC-001,Mistletoe Canyon,MC,Azpeleta Terancon_A,-105.6088423,33.21592533,Azpeleta Tarancon et al. 2018
1031,uspp-002.fhx,USPP-002,Potato Patch,PP,Azpeleta Terancon_A,-105.7247892,33.04386277,Azpeleta Tarancon et al. 2018
1065,uss--001.fhx,USS--001,Solon,S,Azpeleta Terancon_A,-105.556574,33.051347,Azpeleta Tarancon et al. 2018
1069,ussc-001.fhx,USSC-001,Snow Canyon,SC,Azpeleta Terancon_A,-105.6380385,33.24074591,Azpeleta Tarancon et al. 2018
1103,ustc-002.fhx,USTS-002,Turkey Canyon,TC,Azpeleta Terancon_A,-105.549527,33.099762,Azpeleta Tarancon et al. 2018
1107,ustp-001.fhx,USTP-001,Turkey Pen,TP,Azpeleta Terancon_A,-105.6994376,33.00977634,Azpeleta Tarancon et al. 2018
1110,usts-001.fhx,USTS-001,Turkey Spring,TS,Azpeleta Terancon_A,-105.593519,33.284234,Azpeleta Tarancon et al. 2018
1111,ustt-001.fhx,USTT-001,Turkey Track,TT,Azpeleta Terancon_A,-105.7677685,33.05139893,Azpeleta Tarancon et al. 2018
