FID,file_name,impd_code,site_name,site_code,Contributo,Longitude,Latitude,Reference
89, , ,Mt. Irish, MTI, Biondi_F,-115.401111,37.644722, Biondi et al. 2011
474, , ,Quebec,1,Arseneault,-77.74104184,53.70192062,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
475, , ,Quebec,2,Arseneault,-77.73566804,53.68480633,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
476, , ,Quebec,3,Arseneault,-77.73195565,53.67028526,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
477, , ,Quebec,4,Arseneault,-77.71467313,53.65108838,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
478, , ,Quebec,5,Arseneault,-77.70983259,53.63196734,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
479, , ,Quebec,6,Arseneault,-77.69944271,53.617147,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
480, , ,Quebec,7,Arseneault,-77.68606878,53.595722,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
481, , ,Quebec,8,Arseneault,-77.68575337,53.586217,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
482, , ,Quebec,9,Arseneault,-77.67120069,53.56275938,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
